-3.34,3619.38,3619.38,3740.74,3740.74,3777.06,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3872.37,3872.37,3872.37
3619.38,3619.38,3740.74,3740.74,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22
-2.84,-2.84,3729.13,3729.13,3740.74,3740.74,3777.06,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3872.37,3872.37
-3.59,3619.38,3740.74,3740.74,3740.74,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22
-3.51,3619.38,3619.38,3740.74,3740.74,3777.06,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3872.37,3872.37,3872.37
285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,285.4,3534.05,3534.05,3534.05,3534.05,3534.05,3534.05,3534.05,3534.05,3534.05,3534.05,3534.05
-3.16,3619.38,3619.38,3729.13,3729.13,3740.74,3777.06,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22
3753.84,3753.84,4007.93,4007.93,4007.93,4007.93,4007.93,4007.93,4007.93,4007.93,4007.93,4007.93,4007.93,4007.93,4007.93,4007.93,4007.93,4007.93,4007.93,4007.93
-3.31,3619.38,3619.38,3740.74,3740.74,3777.06,3777.06,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3872.37,3872.37,3872.37,3872.37
-4.34,3619.38,3729.13,3729.13,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22,3823.22
